city,hour,total_events,total_revenue,avg_duration
NYC,2025-05-27 09:00:00,2,0.0,60.0
NYC,2025-05-27 10:00:00,6,0.0,60.0
NYC,2025-05-27 11:00:00,1,0.0,60.0
NYC,2025-05-27 12:00:00,1,0.0,60.0
NYC,2025-05-27 14:00:00,3,0.0,60.0
NYC,2025-05-27 15:00:00,4,0.0,60.0
NYC,2025-05-27 16:00:00,1,0.0,60.0
NYC,2025-05-27 19:00:00,1,0.0,60.0
NYC,2025-05-27 20:00:00,2,0.0,60.0
NYC,2025-05-27 21:00:00,1,0.0,60.0
NYC,2025-05-27 22:00:00,3,0.0,60.0
NYC,2025-05-28 00:00:00,2,0.0,60.0
NYC,2025-05-28 01:00:00,1,0.0,60.0
NYC,2025-05-28 02:00:00,3,0.0,60.0
NYC,2025-05-28 05:00:00,1,0.0,60.0
NYC,2025-05-28 08:00:00,1,0.0,60.0
NYC,2025-05-28 09:00:00,1,0.0,60.0
NYC,2025-05-28 10:00:00,1,0.0,60.0
NYC,2025-05-28 11:00:00,3,0.0,60.0
NYC,2025-05-28 12:00:00,1,0.0,60.0
NYC,2025-05-28 13:00:00,1,0.0,60.0
NYC,2025-05-28 15:00:00,1,0.0,60.0
NYC,2025-05-28 17:00:00,1,0.0,60.0
NYC,2025-05-28 19:00:00,1,0.0,60.0
NYC,2025-05-28 20:00:00,7,0.0,60.0
NYC,2025-05-28 21:00:00,3,0.0,60.0
NYC,2025-05-28 22:00:00,3,0.0,60.0
NYC,2025-05-28 23:00:00,2,0.0,60.0
NYC,2025-05-29 00:00:00,2,0.0,60.0
NYC,2025-05-29 02:00:00,4,0.0,60.0
NYC,2025-05-29 05:00:00,1,0.0,60.0
NYC,2025-05-29 08:00:00,4,0.0,60.0
NYC,2025-05-29 09:00:00,9,0.0,60.0
NYC,2025-05-29 10:00:00,4,0.0,60.0
NYC,2025-05-29 11:00:00,6,0.0,60.0
NYC,2025-05-29 12:00:00,2,0.0,60.0
NYC,2025-05-29 14:00:00,1,0.0,60.0
NYC,2025-05-29 17:00:00,1,0.0,60.0
NYC,2025-05-29 19:00:00,1,0.0,60.0
NYC,2025-05-29 20:00:00,7,0.0,60.0
NYC,2025-05-29 21:00:00,3,0.0,60.0
NYC,2025-05-29 22:00:00,2,0.0,60.0
NYC,2025-05-29 23:00:00,2,0.0,60.0
NYC,2025-05-30 01:00:00,1,0.0,60.0
NYC,2025-05-30 02:00:00,4,0.0,60.0
NYC,2025-05-30 03:00:00,1,0.0,60.0
NYC,2025-05-30 04:00:00,6,0.0,60.0
NYC,2025-05-30 05:00:00,1,0.0,60.0
NYC,2025-05-30 06:00:00,1,0.0,60.0
NYC,2025-05-30 07:00:00,2,0.0,60.0
NYC,2025-05-30 08:00:00,2,0.0,60.0
NYC,2025-05-30 10:00:00,1,0.0,60.0
NYC,2025-05-30 22:00:00,1,0.0,60.0
NYC,2025-05-30 23:00:00,1,0.0,60.0
NYC,2025-05-31 20:00:00,1,0.0,60.0
NYC,2025-05-31 22:00:00,1,0.0,60.0
NYC,2025-05-31 23:00:00,1,0.0,60.0
NYC,2025-06-01 03:00:00,1,0.0,60.0
NYC,2025-06-01 23:00:00,1,0.0,60.0
NYC,2025-06-02 00:00:00,1,0.0,60.0
NYC,2025-06-02 16:00:00,1,0.0,60.0
NYC,2025-06-02 20:00:00,1,0.0,60.0
NYC,2025-06-03 07:00:00,1,0.0,60.0
NYC,2025-06-03 19:00:00,1,0.0,60.0
NYC,2025-06-04 06:00:00,4,0.0,60.0
NYC,2025-06-04 11:00:00,1,0.0,60.0
NYC,2025-06-05 02:00:00,2,0.0,60.0
NYC,2025-06-05 06:00:00,3,0.0,60.0
NYC,2025-06-05 09:00:00,1,0.0,60.0
